Sample Index,GX Raw (LSB),GY Raw (LSB),GZ Raw (LSB),GX Uncal (dps),GY Uncal (dps),GZ Uncal (dps),GX Cal (dps),GY Cal (dps),GZ Cal (dps),Roll Angle Uncal (deg),Pitch Angle Uncal (deg),Yaw Angle Uncal (deg),Roll Angle Cal (deg),Pitch Angle Cal (deg),Yaw Angle Cal (deg)
261,-1084,115,-51,-8.274809,0.877863,-0.389313,-0.212847,0.332557,-0.116221,-20.827481,1.459695,-0.861450,0.214239,0.036448,-0.148681
262,-1095,129,-54,-8.358779,0.984733,-0.412214,-0.296817,0.439427,-0.139122,-20.911069,1.469542,-0.865573,0.211271,0.040842,-0.150073
263,-1101,107,-66,-8.404580,0.816794,-0.503817,-0.342618,0.271489,-0.230725,-20.995115,1.477710,-0.870611,0.207845,0.043557,-0.152380
264,-1107,104,-45,-8.450382,0.793893,-0.343511,-0.388420,0.248588,-0.070420,-21.079618,1.485649,-0.874046,0.203961,0.046043,-0.153084
265,-1112,118,-29,-8.488550,0.900763,-0.221374,-0.426588,0.355458,0.051718,-21.164504,1.494656,-0.876260,0.199695,0.049597,-0.152567
266,-1124,113,-27,-8.580153,0.862595,-0.206107,-0.518191,0.317290,0.066985,-21.250305,1.503282,-0.878321,0.194513,0.052770,-0.151897
267,-1083,120,-80,-8.267176,0.916031,-0.610687,-0.205214,0.370725,-0.337595,-21.332977,1.512443,-0.884427,0.192461,0.056477,-0.155273
268,-1275,139,-87,-9.732824,1.061069,-0.664122,-1.670863,0.515763,-0.391031,-21.430305,1.523053,-0.891069,0.175752,0.061635,-0.159183
269,-1061,86,-64,-8.099237,0.656489,-0.488550,-0.037275,0.111183,-0.215458,-21.511298,1.529618,-0.895954,0.175380,0.062747,-0.161338
270,-1277,87,-67,-9.748092,0.664122,-0.511450,-1.686130,0.118817,-0.238359,-21.608779,1.536260,-0.901069,0.158518,0.063935,-0.163721
271,-999,110,-69,-7.625954,0.839695,-0.526718,0.436008,0.294389,-0.253626,-21.685038,1.544656,-0.906336,0.162878,0.066879,-0.166258
272,-1273,110,-66,-9.717557,0.839695,-0.503817,-1.655595,0.294389,-0.230725,-21.782214,1.553053,-0.911374,0.146322,0.069823,-0.168565
273,-1028,126,-82,-7.847328,0.961832,-0.625954,0.214634,0.416527,-0.352863,-21.860687,1.562672,-0.917634,0.148469,0.073988,-0.172094
274,-1054,127,-86,-8.045802,0.969466,-0.656489,0.016160,0.424160,-0.383397,-21.941145,1.572366,-0.924198,0.148630,0.078230,-0.175927
