Sample Index,GX Raw (LSB),GY Raw (LSB),GZ Raw (LSB),GX Uncal (dps),GY Uncal (dps),GZ Uncal (dps),GX Cal (dps),GY Cal (dps),GZ Cal (dps),Roll Angle Uncal (deg),Pitch Angle Uncal (deg),Yaw Angle Uncal (deg),Roll Angle Cal (deg),Pitch Angle Cal (deg),Yaw Angle Cal (deg)
391,-1026,30,33,-7.832061,0.229008,0.251908,0.229901,-0.316298,0.525000,-31.376260,2.222595,-1.237252,0.146011,0.090452,-0.169464
392,-1073,131,-73,-8.190840,1.000000,-0.557252,-0.128878,0.454695,-0.284160,-31.458168,2.232595,-1.242824,0.144722,0.094998,-0.172305
393,-1261,23,-28,-9.625954,0.175573,-0.213740,-1.563992,-0.369733,0.059351,-31.554427,2.234351,-1.244962,0.129083,0.091301,-0.171712
394,-1030,113,-11,-7.862595,0.862595,-0.083969,0.199366,0.317290,0.189122,-31.633053,2.242977,-1.245802,0.131076,0.094474,-0.169821
395,-825,94,-251,-6.297710,0.717557,-1.916031,1.764252,0.172252,-1.642939,-31.696031,2.250153,-1.264962,0.148719,0.096197,-0.186250
396,-787,90,-78,-6.007634,0.687023,-0.595420,2.054328,0.141718,-0.322328,-31.756107,2.257023,-1.270916,0.169262,0.097614,-0.189473
397,-1038,75,-254,-7.923664,0.572519,-1.938931,0.138298,0.027214,-1.665840,-31.835344,2.262748,-1.290305,0.170645,0.097886,-0.206132
398,-813,128,-22,-6.206107,0.977099,-0.167939,1.855855,0.431794,0.105153,-31.897405,2.272519,-1.291985,0.189204,0.102204,-0.205080
399,-1274,25,223,-9.725191,0.190840,1.702290,-1.663229,-0.354466,1.975382,-31.994656,2.274427,-1.274962,0.172571,0.098659,-0.185326
400,-1280,20,226,-9.770992,0.152672,1.725191,-1.709031,-0.392634,1.998282,-32.092366,2.275954,-1.257710,0.155481,0.094733,-0.165344
401,-1036,87,-31,-7.908397,0.664122,-0.236641,0.153565,0.118817,0.036450,-32.171450,2.282595,-1.260076,0.157017,0.095921,-0.164979
402,-1275,25,-33,-9.732824,0.190840,-0.251908,-1.670863,-0.354466,0.021183,-32.268779,2.284504,-1.262595,0.140308,0.092376,-0.164767
403,-1275,5,-87,-9.732824,0.038168,-0.664122,-1.670863,-0.507137,-0.391031,-32.366107,2.284885,-1.269237,0.123599,0.087305,-0.168677
404,-986,13,-243,-7.526718,0.099237,-1.854962,0.535244,-0.446069,-1.581870,-32.441374,2.285878,-1.287786,0.128952,0.082844,-0.184496
405,-1096,144,-73,-8.366412,1.099237,-0.557252,-0.304450,0.553931,-0.284160,-32.525038,2.296870,-1.293359,0.125907,0.088384,-0.187338
406,-1017,-1,13,-7.763359,-0.007634,0.099237,0.298603,-0.552939,0.372328,-32.602672,2.296794,-1.292366,0.128893,0.082854,-0.183615
407,-1085,157,-45,-8.282443,1.198473,-0.343511,-0.220481,0.653168,-0.070420,-32.685496,2.308779,-1.295802,0.126688,0.089386,-0.184319
408,-1067,110,-214,-8.145038,0.839695,-1.633588,-0.083076,0.294389,-1.360496,-32.766947,2.317176,-1.312137,0.125858,0.092330,-0.197924
409,-1083,133,-85,-8.267176,1.015267,-0.648855,-0.205214,0.469962,-0.375763,-32.849618,2.327328,-1.318626,0.123806,0.097029,-0.201681
410,-1244,0,-248,-9.496183,0.000000,-1.893130,-1.434221,-0.545305,-1.620038,-32.944580,2.327328,-1.337557,0.109463,0.091576,-0.217882
411,-1064,95,-13,-8.122137,0.725191,-0.099237,-0.060176,0.179885,0.173855,-33.025802,2.334580,-1.338550,0.108862,0.093375,-0.216143
412,-1032,-234,224,-7.877863,-1.786260,1.709924,0.184099,-2.331565,1.983015,-33.104580,2.316718,-1.321450,0.110703,0.070060,-0.196313
413,-1271,-189,-43,-9.702290,-1.442748,-0.328244,-1.640328,-1.988053,-0.055153,-33.201603,2.302290,-1.324733,0.094299,0.050179,-0.196865
414,-1051,67,-253,-8.022901,0.511450,-1.931298,0.039061,-0.033855,-1.658206,-33.281832,2.307405,-1.344046,0.094690,0.049840,-0.213447
415,-787,-205,197,-6.007634,-1.564885,1.503817,2.054328,-2.110191,1.776908,-33.341908,2.291756,-1.329008,0.115233,0.028739,-0.195677
416,-1044,9,-65,-7.969466,0.068702,-0.496183,0.092496,-0.476603,-0.223092,-33.421603,2.292443,-1.333969,0.116158,0.023973,-0.197908
417,-1038,255,233,-7.923664,1.946565,1.778626,0.138298,1.401260,2.051718,-33.500840,2.311908,-1.316183,0.117541,0.037985,-0.177391
418,-1042,59,-63,-7.954198,0.450382,-0.480916,0.107763,-0.094924,-0.207824,-33.580382,2.316412,-1.320992,0.118619,0.037036,-0.179469
419,-1031,49,-253,-7.870229,0.374046,-1.931298,0.191733,-0.171260,-1.658206,-33.659084,2.320153,-1.340305,0.120536,0.035323,-0.196052
420,-1095,144,-58,-8.358779,1.099237,-0.442748,-0.296817,0.553931,-0.169656,-33.742672,2.331145,-1.344733,0.117568,0.040863,-0.197748
421,-995,132,-242,-7.595420,1.007634,-1.847328,0.466542,0.462328,-1.574237,-33.818626,2.341221,-1.363206,0.122233,0.045486,-0.213490
422,-1104,118,-71,-8.427481,0.900763,-0.541985,-0.365519,0.355458,-0.268893,-33.902901,2.350229,-1.368626,0.118578,0.049040,-0.216179
423,-1271,7,17,-9.702290,0.053435,0.129771,-1.640328,-0.491870,0.402863,-33.999924,2.350763,-1.367328,0.102175,0.044122,-0.212151
424,-1084,131,-88,-8.274809,1.000000,-0.671756,-0.212847,0.454695,-0.398664,-34.082672,2.360763,-1.374046,0.100046,0.048669,-0.216137
425,-1054,79,-6,-8.045802,0.603053,-0.045802,0.016160,0.057748,0.227290,-34.163130,2.366794,-1.374504,0.100208,0.049246,-0.213865
426,-1064,169,-235,-8.122137,1.290076,-1.793893,-0.060176,0.744771,-1.520802,-34.244351,2.379695,-1.392443,0.099606,0.056694,-0.229073
427,-793,69,214,-6.053435,0.526718,1.633588,2.008527,-0.018588,1.906679,-34.304885,2.384962,-1.376107,0.119692,0.056508,-0.210006
428,-1229,249,253,-9.381679,1.900763,1.931298,-1.319718,1.355458,2.204389,-34.398702,2.403969,-1.356794,0.106494,0.070063,-0.187962
429,-1122,143,-7,-8.564885,1.091603,-0.053435,-0.502924,0.546298,0.219656,-34.484351,2.414885,-1.357328,0.101465,0.075526,-0.185765
430,-823,122,-73,-6.282443,0.931298,-0.557252,1.779519,0.385992,-0.284160,-34.547176,2.424198,-1.362901,0.119260,0.079385,-0.188607
431,-808,124,-240,-6.167939,0.946565,-1.832061,1.894023,0.401260,-1.558969,-34.608855,2.433664,-1.381221,0.138201,0.083398,-0.204197
432,-1077,147,-80,-8.221374,1.122137,-0.610687,-0.159412,0.576832,-0.337595,-34.691069,2.444885,-1.387328,0.136606,0.089166,-0.207573
433,-1006,247,239,-7.679389,1.885496,1.824427,0.382573,1.340191,2.097519,-34.767863,2.463740,-1.369084,0.140432,0.102568,-0.186597
434,-1075,249,-73,-8.206107,1.900763,-0.557252,-0.144145,1.355458,-0.284160,-34.849924,2.482748,-1.374656,0.138991,0.116123,-0.189439
435,-1273,255,14,-9.717557,1.946565,0.106870,-1.655595,1.401260,0.379962,-34.947099,2.502214,-1.373588,0.122435,0.130135,-0.185639
436,-1262,14,-240,-9.633588,0.106870,-1.832061,-1.571626,-0.438435,-1.558969,-35.043435,2.503282,-1.391908,0.106718,0.125751,-0.201229
437,-1095,157,-12,-8.358779,1.198473,-0.091603,-0.296817,0.653168,0.181489,-35.127023,2.515267,-1.392824,0.103750,0.132283,-0.199414
438,-803,96,-80,-6.129771,0.732824,-0.610687,1.932191,0.187519,-0.337595,-35.188321,2.522595,-1.398931,0.123072,0.134158,-0.202790
439,-1276,-142,-239,-9.740458,-1.083969,-1.824427,-1.678496,-1.629275,-1.551336,-35.285725,2.511756,-1.417176,0.106287,0.117865,-0.218303
440,-1092,121,-73,-8.335878,0.923664,-0.557252,-0.273916,0.378359,-0.284160,-35.369084,2.520992,-1.422748,0.103548,0.121649,-0.221145
441,-1033,249,234,-7.885496,1.900763,1.786260,0.176466,1.355458,2.059351,-35.447939,2.540000,-1.404885,0.105313,0.135203,-0.200552
442,-1081,52,219,-8.251908,0.396947,1.671756,-0.189947,-0.148359,1.944847,-35.530458,2.543969,-1.388168,0.103413,0.133720,-0.181103
443,-1068,94,-243,-8.152672,0.717557,-1.854962,-0.090710,0.172252,-1.581870,-35.611985,2.551145,-1.406718,0.102506,0.135442,-0.196922
444,-1052,35,242,-8.030534,0.267176,1.847328,0.031427,-0.278130,2.120420,-35.692290,2.553817,-1.388244,0.102820,0.132661,-0.175718
445,-1081,120,-75,-8.251908,0.916031,-0.572519,-0.189947,0.370725,-0.299427,-35.774809,2.562977,-1.393969,0.100921,0.136368,-0.178712
446,-1262,255,22,-9.633588,1.946565,0.167939,-1.571626,1.401260,0.441031,-35.871145,2.582443,-1.392290,0.085205,0.150381,-0.174302
447,-1036,248,-82,-7.908397,1.893130,-0.625954,0.153565,1.347824,-0.352863,-35.950229,2.601374,-1.398550,0.086740,0.163859,-0.177830
448,-1278,60,-244,-9.755725,0.458015,-1.862595,-1.693763,-0.087290,-1.589504,-36.047786,2.605954,-1.417176,0.069803,0.162986,-0.193725
449,-801,110,-85,-6.114504,0.839695,-0.648855,1.947458,0.294389,-0.375763,-36.108931,2.614351,-1.423664,0.089277,0.165930,-0.197483
450,-1273,38,214,-9.717557,0.290076,1.633588,-1.655595,-0.255229,1.906679,-36.206107,2.617252,-1.407328,0.072721,0.163378,-0.178416
451,-1056,74,-3,-8.061069,0.564885,-0.022901,0.000893,0.019580,0.250191,-36.286718,2.622901,-1.407557,0.072730,0.163574,-0.175914
452,-1054,248,-11,-8.045802,1.893130,-0.083969,0.016160,1.347824,0.189122,-36.367176,2.641832,-1.408397,0.072892,0.177052,-0.174023
453,-1072,81,-4,-8.183206,0.618321,-0.030534,-0.121244,0.073015,0.242557,-36.449008,2.648015,-1.408702,0.071679,0.177782,-0.171597
454,-783,80,-78,-5.977099,0.610687,-0.595420,2.084863,0.065382,-0.322328,-36.508779,2.654122,-1.414656,0.092528,0.178436,-0.174821
455,-1025,-150,-254,-7.824427,-1.145038,-1.938931,0.237534,-1.690344,-1.665840,-36.587023,2.642672,-1.434046,0.094903,0.161532,-0.191479
456,-816,130,-82,-6.229008,0.992366,-0.625954,1.832954,0.447061,-0.352863,-36.649313,2.652595,-1.440305,0.113233,0.166003,-0.195008
457,-1022,-256,228,-7.801527,-1.954198,1.740458,0.260435,-2.499504,2.013550,-36.727328,2.633053,-1.422901,0.115837,0.141008,-0.174872
458,-1045,72,203,-7.977099,0.549618,1.549618,0.084863,0.004313,1.822710,-36.807099,2.638550,-1.407405,0.116686,0.141051,-0.156645
459,-1076,69,-3,-8.213740,0.526718,-0.022901,-0.151779,-0.018588,0.250191,-36.889237,2.643817,-1.407634,0.115168,0.140865,-0.154143
460,-1049,2,242,-8.007634,0.015267,1.847328,0.054328,-0.530038,2.120420,-36.969313,2.643969,-1.389160,0.115711,0.135565,-0.132939
461,-1065,116,-12,-8.129771,0.885496,-0.091603,-0.067809,0.340191,0.181489,-37.050611,2.652824,-1.390076,0.115033,0.138967,-0.131124
462,-773,46,-49,-5.900763,0.351145,-0.374046,2.161198,-0.194160,-0.100954,-37.109618,2.656336,-1.393817,0.136645,0.137025,-0.132134
463,-1029,10,166,-7.854962,0.076336,1.267176,0.207000,-0.468969,1.540267,-37.188168,2.657099,-1.381145,0.138715,0.132335,-0.116731
464,-1267,44,-242,-9.671756,0.335878,-1.847328,-1.609794,-0.209427,-1.574237,-37.284885,2.660458,-1.399618,0.122617,0.130241,-0.132473
465,-1067,122,-4,-8.145038,0.931298,-0.030534,-0.083076,0.385992,0.242557,-37.366336,2.669771,-1.399924,0.121787,0.134101,-0.130048
466,-1263,-254,-44,-9.641221,-1.938931,-0.335878,-1.579260,-2.484237,-0.062786,-37.462748,2.650382,-1.403282,0.105994,0.109259,-0.130676
467,-1045,107,-22,-7.977099,0.816794,-0.167939,0.084863,0.271489,0.105153,-37.542519,2.658550,-1.404962,0.106843,0.111974,-0.129624
468,-813,88,228,-6.206107,0.671756,1.740458,1.855855,0.126450,2.013550,-37.604580,2.665267,-1.387557,0.125401,0.113238,-0.109489
469,-1066,96,-3,-8.137405,0.732824,-0.022901,-0.075443,0.187519,0.250191,-37.685954,2.672595,-1.387786,0.124647,0.115113,-0.106987
470,-1078,124,-77,-8.229008,0.946565,-0.587786,-0.167046,0.401260,-0.314695,-37.768244,2.682061,-1.393664,0.122976,0.119126,-0.110134
471,-802,248,-68,-6.122137,1.893130,-0.519084,1.939824,1.347824,-0.245992,-37.829466,2.700992,-1.398855,0.142375,0.132604,-0.112594
472,-1018,255,243,-7.770992,1.946565,1.854962,0.290969,1.401260,2.128053,-37.907176,2.720458,-1.380305,0.145284,0.146617,-0.091313
473,-1239,-152,-90,-9.458015,-1.160305,-0.687023,-1.396053,-1.705611,-0.413931,-38.001756,2.708855,-1.387176,0.131324,0.129561,-0.095452
474,-1272,253,-256,-9.709924,1.931298,-1.954198,-1.647962,1.385992,-1.681107,-38.098855,2.728168,-1.406718,0.114844,0.143421,-0.112263
475,-1066,114,-73,-8.137405,0.870229,-0.557252,-0.075443,0.324924,-0.284160,-38.180229,2.736870,-1.412290,0.114090,0.146670,-0.115105
476,-1269,54,-65,-9.687023,0.412214,-0.496183,-1.625061,-0.133092,-0.223092,-38.277099,2.740992,-1.417252,0.097839,0.145339,-0.117336
477,-1063,1,2,-8.114504,0.007634,0.015267,-0.052542,-0.537672,0.288359,-38.358244,2.741069,-1.417099,0.097314,0.139962,-0.114452
478,-1039,51,-247,-7.931298,0.389313,-1.885496,0.130664,-0.155992,-1.612405,-38.437557,2.744962,-1.435954,0.098620,0.138402,-0.130576
479,-790,98,-61,-6.030534,0.748092,-0.465649,2.031427,0.202786,-0.192557,-38.497863,2.752443,-1.440611,0.118935,0.140430,-0.132502
480,-1258,23,23,-9.603053,0.175573,0.175573,-1.541092,-0.369733,0.448664,-38.593893,2.754198,-1.438855,0.103524,0.136733,-0.128015
481,-1276,2,-81,-9.740458,0.015267,-0.618321,-1.678496,-0.530038,-0.345229,-38.691298,2.754351,-1.445038,0.086739,0.131432,-0.131468
482,-1272,-13,229,-9.709924,-0.099237,1.748092,-1.647962,-0.644542,2.021183,-38.788397,2.753359,-1.427557,0.070259,0.124987,-0.111256
483,-1056,76,-249,-8.061069,0.580153,-1.900763,0.000893,0.034847,-1.627672,-38.869008,2.759160,-1.446565,0.070268,0.125335,-0.127532
484,-800,172,-236,-6.106870,1.312977,-1.801527,1.955092,0.767672,-1.528435,-38.930076,2.772290,-1.464580,0.089819,0.133012,-0.142817
485,-1114,139,-54,-8.503817,1.061069,-0.412214,-0.441855,0.515763,-0.139122,-39.015115,2.782901,-1.468702,0.085400,0.138170,-0.144208
486,-1072,115,-24,-8.183206,0.877863,-0.183206,-0.121244,0.332557,0.089885,-39.096947,2.791679,-1.470534,0.084188,0.141495,-0.143309
487,-1274,-233,-53,-9.725191,-1.778626,-0.404580,-1.663229,-2.323931,-0.131489,-39.194198,2.773893,-1.474580,0.067556,0.118256,-0.144624
488,-1277,17,-245,-9.748092,0.129771,-1.870229,-1.686130,-0.415534,-1.597137,-39.291679,2.775191,-1.493282,0.050694,0.114101,-0.160595
489,-1046,10,-46,-7.984733,0.076336,-0.351145,0.077229,-0.468969,-0.078053,-39.371527,2.775954,-1.496794,0.051467,0.109411,-0.161376
490,-1006,226,218,-7.679389,1.725191,1.664122,0.382573,1.179885,1.937214,-39.448321,2.793206,-1.480153,0.055292,0.121210,-0.142004
491,-1066,95,-2,-8.137405,0.725191,-0.015267,-0.075443,0.179885,0.257824,-39.529695,2.800458,-1.480305,0.054538,0.123009,-0.139426
492,-793,144,-250,-6.053435,1.099237,-1.908397,2.008527,0.553931,-1.635305,-39.590229,2.811450,-1.499389,0.074623,0.128548,-0.155779
493,-1108,161,-64,-8.458015,1.229008,-0.488550,-0.396053,0.683702,-0.215458,-39.674809,2.823740,-1.504275,0.070663,0.135385,-0.157933
494,-844,113,-20,-6.442748,0.862595,-0.152672,1.619214,0.317290,0.120420,-39.739237,2.832366,-1.505802,0.086855,0.138558,-0.156729
495,-1036,-193,-84,-7.908397,-1.473282,-0.641221,0.153565,-2.018588,-0.368130,-39.818321,2.817634,-1.512214,0.088390,0.118372,-0.160410
496,-1274,20,23,-9.725191,0.152672,0.175573,-1.663229,-0.392634,0.448664,-39.915573,2.819160,-1.510458,0.071758,0.114446,-0.155924
497,-1053,254,-69,-8.038168,1.938931,-0.526718,0.023794,1.393626,-0.253626,-39.995954,2.838550,-1.515725,0.071996,0.128382,-0.158460
498,-1265,249,2,-9.656489,1.900763,0.015267,-1.594527,1.355458,0.288359,-40.092519,2.857557,-1.515573,0.056051,0.141937,-0.155576
499,-1049,69,-241,-8.007634,0.526718,-1.839695,0.054328,-0.018588,-1.566603,-40.172595,2.862824,-1.533969,0.056594,0.141751,-0.171242
500,-1065,138,-250,-8.129771,1.053435,-1.908397,-0.067809,0.508130,-1.635305,-40.253893,2.873359,-1.553053,0.055916,0.146832,-0.187595
501,-1078,128,-51,-8.229008,0.977099,-0.389313,-0.167046,0.431794,-0.116221,-40.336183,2.883130,-1.556947,0.054246,0.151150,-0.188758
502,-802,135,-45,-6.122137,1.030534,-0.343511,1.939824,0.485229,-0.070420,-40.397405,2.893435,-1.560382,0.073644,0.156002,-0.189462
503,-1019,-11,229,-7.778626,-0.083969,1.748092,0.283336,-0.629275,2.021183,-40.475191,2.892595,-1.542901,0.076477,0.149710,-0.169250
504,-1055,120,-18,-8.053435,0.916031,-0.137405,0.008527,0.370725,0.135687,-40.555725,2.901756,-1.544275,0.076562,0.153417,-0.167893
505,-1039,-117,-245,-7.931298,-0.893130,-1.870229,0.130664,-1.438435,-1.597137,-40.635038,2.892824,-1.562977,0.077869,0.139032,-0.183865
506,-808,64,-54,-6.167939,0.488550,-0.412214,1.894023,-0.056756,-0.139122,-40.696718,2.897710,-1.567099,0.096809,0.138465,-0.185256
507,-1272,4,236,-9.709924,0.030534,1.801527,-1.647962,-0.514771,2.074618,-40.793817,2.898015,-1.549084,0.080330,0.133317,-0.164510
508,-1060,133,-42,-8.091603,1.015267,-0.320611,-0.029641,0.469962,-0.047519,-40.874733,2.908168,-1.552290,0.080033,0.138017,-0.164985
509,-1265,-14,226,-9.656489,-0.106870,1.725191,-1.594527,-0.652176,1.998282,-40.971298,2.907099,-1.535038,0.064088,0.131495,-0.145002
510,-1028,-170,-61,-7.847328,-1.297710,-0.465649,0.214634,-1.843015,-0.192557,-41.049771,2.894122,-1.539695,0.066234,0.113065,-0.146927
511,-1007,245,248,-7.687023,1.870229,1.893130,0.374939,1.324924,2.166221,-41.126641,2.912824,-1.520763,0.069984,0.126314,-0.125265
512,-1093,154,-38,-8.343511,1.175573,-0.290076,-0.281550,0.630267,-0.016985,-41.210076,2.924580,-1.523664,0.067168,0.132617,-0.125435
513,-1020,-251,-74,-7.786260,-1.916031,-0.564885,0.275702,-2.461336,-0.291794,-41.287939,2.905420,-1.529313,0.069925,0.108003,-0.128353
514,-1266,249,33,-9.664122,1.900763,0.251908,-1.602160,1.355458,0.525000,-41.384580,2.924427,-1.526794,0.053904,0.121558,-0.123103
515,-1064,9,22,-8.122137,0.068702,0.167939,-0.060176,-0.476603,0.441031,-41.465802,2.925115,-1.525115,0.053302,0.116792,-0.118693
516,-1112,143,-47,-8.488550,1.091603,-0.358779,-0.426588,0.546298,-0.085687,-41.550687,2.936031,-1.528702,0.049036,0.122255,-0.119550
517,-770,5,248,-5.877863,0.038168,1.893130,2.184099,-0.507137,2.166221,-41.609466,2.936412,-1.509771,0.070877,0.117184,-0.097887
518,-1083,89,8,-8.267176,0.679389,0.061069,-0.205214,0.134084,0.334160,-41.692137,2.943206,-1.509160,0.068825,0.118524,-0.094546
519,-1081,148,-57,-8.251908,1.129771,-0.435115,-0.189947,0.584466,-0.162023,-41.774656,2.954504,-1.513511,0.066925,0.124369,-0.096166
520,-775,124,-23,-5.916031,0.946565,-0.175573,2.145931,0.401260,0.097519,-41.833817,2.963969,-1.515267,0.088385,0.128382,-0.095191
521,-1250,56,-66,-9.541985,0.427481,-0.503817,-1.480023,-0.117824,-0.230725,-41.929237,2.968244,-1.520305,0.073585,0.127203,-0.097498
522,-1044,66,-252,-7.969466,0.503817,-1.923664,0.092496,-0.041489,-1.650573,-42.008931,2.973282,-1.539542,0.074509,0.126789,-0.114004
523,-1088,255,178,-8.305344,1.946565,1.358779,-0.243382,1.401260,1.631870,-42.091985,2.992748,-1.525954,0.072076,0.140801,-0.097685
524,-1261,13,-5,-9.625954,0.099237,-0.038168,-1.563992,-0.446069,0.234924,-42.188244,2.993740,-1.526336,0.056436,0.136340,-0.095336
525,-1066,69,-251,-8.137405,0.526718,-1.916031,-0.075443,-0.018588,-1.642939,-42.269618,2.999008,-1.545496,0.055681,0.136155,-0.111765
526,-1070,-187,-36,-8.167939,-1.427481,-0.274809,-0.105977,-1.972786,-0.001718,-42.351298,2.984733,-1.548244,0.054622,0.116427,-0.111782
527,-994,-240,224,-7.587786,-1.832061,1.709924,0.474176,-2.377366,1.983015,-42.427176,2.966412,-1.531145,0.059363,0.092653,-0.091952
528,-1029,56,-55,-7.854962,0.427481,-0.419847,0.207000,-0.117824,-0.146756,-42.505725,2.970687,-1.535344,0.061433,0.091475,-0.093420
529,-1027,98,-255,-7.839695,0.748092,-1.946565,0.222267,0.202786,-1.673473,-42.584122,2.978168,-1.554809,0.063656,0.093503,-0.110155
530,-787,54,-70,-6.007634,0.412214,-0.534351,2.054328,-0.133092,-0.261260,-42.644198,2.982290,-1.560153,0.084199,0.092172,-0.112767
531,-1031,12,-83,-7.870229,0.091603,-0.633588,0.191733,-0.453702,-0.360496,-42.722901,2.983206,-1.566489,0.086117,0.087635,-0.116372
532,-1043,233,249,-7.961832,1.778626,1.900763,0.100130,1.233321,2.173855,-42.802519,3.000992,-1.547481,0.087118,0.099968,-0.094634
533,-1274,1,249,-9.725191,0.007634,1.900763,-1.663229,-0.537672,2.173855,-42.899771,3.001069,-1.528473,0.070486,0.094591,-0.072895
534,-1086,133,-235,-8.290076,1.015267,-1.793893,-0.228115,0.469962,-1.520802,-42.982672,3.011221,-1.546412,0.068204,0.099291,-0.088103
535,-1082,122,-78,-8.259542,0.931298,-0.595420,-0.197580,0.385992,-0.322328,-43.065267,3.020534,-1.552366,0.066229,0.103151,-0.091326
536,-1074,119,-247,-8.198473,0.908397,-1.885496,-0.136511,0.363092,-1.612405,-43.147252,3.029618,-1.571221,0.064864,0.106782,-0.107450
537,-1100,151,-59,-8.396947,1.152672,-0.450382,-0.334985,0.607366,-0.177290,-43.231221,3.041145,-1.575725,0.061514,0.112855,-0.109223
538,-1013,-8,213,-7.732824,-0.061069,1.625954,0.329137,-0.606374,1.899046,-43.308550,3.040534,-1.559466,0.064805,0.106792,-0.090233
539,-1046,250,-68,-7.984733,1.908397,-0.519084,0.077229,1.363092,-0.245992,-43.388397,3.059618,-1.564656,0.065577,0.120423,-0.092693
540,-1025,6,214,-7.824427,0.045802,1.633588,0.237534,-0.499504,1.906679,-43.466641,3.060076,-1.548321,0.067953,0.115427,-0.073626
541,-1036,5,-20,-7.908397,0.038168,-0.152672,0.153565,-0.507137,0.120420,-43.545725,3.060458,-1.549847,0.069488,0.110356,-0.072422
542,-1081,116,-233,-8.251908,0.885496,-1.778626,-0.189947,0.340191,-1.505534,-43.628244,3.069313,-1.567634,0.067589,0.113758,-0.087477
543,-1105,132,-67,-8.435115,1.007634,-0.511450,-0.373153,0.462328,-0.238359,-43.712595,3.079389,-1.572748,0.063857,0.118381,-0.089861
544,-770,136,-231,-5.877863,1.038168,-1.763359,2.184099,0.492863,-1.490267,-43.771374,3.089771,-1.590382,0.085698,0.123310,-0.104763
545,-1123,149,-40,-8.572519,1.137405,-0.305344,-0.510557,0.592099,-0.032252,-43.857099,3.101145,-1.593435,0.080593,0.129231,-0.105086
546,-1027,-224,-63,-7.839695,-1.709924,-0.480916,0.222267,-2.255229,-0.207824,-43.935496,3.084046,-1.598244,0.082815,0.106679,-0.107164
547,-1033,242,-85,-7.885496,1.847328,-0.648855,0.176466,1.302023,-0.375763,-44.014351,3.102519,-1.604733,0.084580,0.119699,-0.110922
548,-1039,28,-252,-7.931298,0.213740,-1.923664,0.130664,-0.331565,-1.650573,-44.093664,3.104656,-1.623969,0.085887,0.116383,-0.127427
549,-1044,255,3,-7.969466,1.946565,0.022901,0.092496,1.401260,0.295992,-44.173359,3.124122,-1.623740,0.086812,0.130396,-0.124468
550,-1090,123,-63,-8.320611,0.938931,-0.480916,-0.258649,0.393626,-0.207824,-44.256565,3.133511,-1.628550,0.084225,0.134332,-0.126546
551,-1040,1,15,-7.938931,0.007634,0.114504,0.123031,-0.537672,0.387595,-44.335954,3.133588,-1.627405,0.085455,0.128955,-0.122670
552,-1066,253,186,-8.137405,1.931298,1.419847,-0.075443,1.385992,1.692939,-44.417328,3.152901,-1.613206,0.084701,0.142815,-0.105740
553,-1032,67,-233,-7.877863,0.511450,-1.778626,0.184099,-0.033855,-1.505534,-44.496107,3.158015,-1.630992,0.086542,0.142477,-0.120796
554,-1087,151,-54,-8.297710,1.152672,-0.412214,-0.235748,0.607366,-0.139122,-44.579084,3.169542,-1.635115,0.084185,0.148550,-0.122187
555,-1047,19,197,-7.992366,0.145038,1.503817,0.069595,-0.400267,1.776908,-44.659008,3.170992,-1.620076,0.084881,0.144548,-0.104418
556,-1258,17,12,-9.603053,0.129771,0.091603,-1.541092,-0.415534,0.364695,-44.755038,3.172290,-1.619160,0.069470,0.140392,-0.100771
557,-1038,11,-80,-7.923664,0.083969,-0.610687,0.138298,-0.461336,-0.337595,-44.834275,3.173130,-1.625267,0.070853,0.135779,-0.104147
558,-1277,5,242,-9.748092,0.038168,1.847328,-1.686130,-0.507137,2.120420,-44.931756,3.173511,-1.606794,0.053991,0.130708,-0.082943
559,-1061,111,-10,-8.099237,0.847328,-0.076336,-0.037275,0.302023,0.196756,-45.012748,3.181985,-1.607557,0.053619,0.133728,-0.080975
560,-836,65,226,-6.381679,0.496183,1.725191,1.680282,-0.049122,1.998282,-45.076565,3.186947,-1.590305,0.070421,0.133237,-0.060992
561,-1068,97,-222,-8.152672,0.740458,-1.694656,-0.090710,0.195153,-1.421565,-45.158092,3.194351,-1.607252,0.069514,0.135188,-0.075208
562,-1091,151,-24,-8.328244,1.152672,-0.183206,-0.266282,0.607366,0.089885,-45.241374,3.205878,-1.609084,0.066851,0.141262,-0.074309
563,-1015,-220,-95,-7.748092,-1.679389,-0.725191,0.313870,-2.224695,-0.452099,-45.318855,3.189084,-1.616336,0.069990,0.119015,-0.078830
564,-1028,249,7,-7.847328,1.900763,0.053435,0.214634,1.355458,0.326527,-45.397328,3.208092,-1.615802,0.072136,0.132569,-0.075565
565,-1049,11,-55,-8.007634,0.083969,-0.419847,0.054328,-0.461336,-0.146756,-45.477405,3.208931,-1.620000,0.072680,0.127956,-0.077032
566,-1024,17,222,-7.816794,0.129771,1.694656,0.245168,-0.415534,1.967748,-45.555573,3.210229,-1.603053,0.075131,0.123801,-0.057355
567,-1068,81,-252,-8.152672,0.618321,-1.923664,-0.090710,0.073015,-1.650573,-45.637099,3.216412,-1.622290,0.074224,0.124531,-0.073861
568,-829,154,-248,-6.328244,1.175573,-1.893130,1.733718,0.630267,-1.620038,-45.700382,3.228168,-1.641221,0.091562,0.130834,-0.090061
569,-1087,145,-25,-8.297710,1.106870,-0.190840,-0.235748,0.561565,0.082252,-45.783359,3.239237,-1.643130,0.089204,0.136449,-0.089239
