Timestamp (s),X Position (cm),Y Position (cm),Raw X Position (cm),Raw Y Position (cm),VX (m/s),VY (m/s),Raw VX (m/s),Raw VY (m/s),Altitude (m),Heading (deg)
792.6946,-45.9271,-12.6289,-46.2622,-11.4356,0.0000,-0.0000,0.0000,0.0000,0.0000,259.2512
792.8043,-45.9271,-12.6289,-46.2622,-11.4356,0.0000,0.0000,0.0000,0.0000,0.0000,259.2157
792.9102,-45.9271,-12.6289,-46.2622,-11.4356,0.0000,-0.0000,0.0000,0.0000,0.0000,259.2105
793.0007,-45.9271,-12.6289,-46.2622,-11.4356,0.0000,0.0000,0.0000,0.0000,0.0000,259.2189
793.1070,-45.9271,-12.6289,-46.2622,-11.4356,0.0000,-0.0000,0.0000,0.0000,0.0000,259.1694
793.2128,-45.9271,-12.6289,-46.2622,-11.4356,0.0000,0.0000,0.0000,0.0000,0.0000,259.1322
793.3102,-45.9271,-12.6289,-46.2622,-11.4356,-0.0000,0.0000,0.0000,0.0000,0.0000,259.1586
793.4197,-45.9271,-12.6289,-46.2622,-11.4356,0.0000,-0.0000,0.0000,0.0000,0.0000,259.1902
793.5243,-45.9271,-12.6289,-46.2622,-11.4356,-0.0000,0.0000,-0.0000,0.0000,0.0000,259.2901
793.8016,-45.9271,-12.6289,-46.2622,-11.4356,0.0000,-0.0000,0.0000,-0.0000,0.0000,259.2926
794.0598,-45.9271,-12.6289,-46.2622,-11.4356,0.0000,-0.0000,0.0000,0.0000,0.0000,259.3215
794.1971,-45.9271,-12.6289,-46.2622,-11.4356,0.0000,-0.0000,0.0000,0.0000,0.0000,259.3025
794.2985,-45.9271,-12.6289,-46.2622,-11.4356,-0.0000,0.0000,-0.0000,0.0000,0.0000,259.2898
794.4262,-45.9271,-12.6289,-46.2622,-11.4356,-0.0000,0.0000,-0.0000,0.0000,0.0000,259.2243
794.5241,-45.9271,-12.6289,-46.2622,-11.4356,-0.0000,0.0000,-0.0000,0.0000,0.0000,259.2205
794.6335,-45.9271,-12.6289,-46.2622,-11.4356,0.0000,0.0000,0.0000,0.0000,0.0000,259.2178
794.7373,-45.9271,-12.6289,-46.2622,-11.4356,-0.0000,0.0000,0.0000,0.0000,0.0000,259.2174
794.8628,-45.9271,-12.6289,-46.2622,-11.4356,-0.0000,0.0000,-0.0000,0.0000,0.0000,259.2267
794.9784,-45.9271,-12.6289,-46.2622,-11.4356,0.0000,0.0000,0.0000,0.0000,0.0000,259.2244
795.0845,-45.9271,-12.6289,-46.2622,-11.4356,-0.0000,0.0000,-0.0000,0.0000,0.0000,259.2229
795.2075,-45.9271,-12.6289,-46.2622,-11.4356,0.0000,0.0000,0.0000,0.0000,0.0000,259.2285
795.3135,-45.9271,-12.6289,-46.2622,-11.4356,0.0000,0.0000,0.0000,0.0000,0.0000,259.2453
795.4305,-45.9271,-12.6289,-46.2622,-11.4356,0.0000,0.0000,0.0000,0.0000,0.0000,259.2633
795.5315,-45.9271,-12.6289,-46.2622,-11.4356,-0.0000,0.0000,-0.0000,0.0000,0.0000,259.3008
795.6551,-45.9271,-12.6289,-46.2622,-11.4356,0.0000,0.0000,0.0000,0.0000,0.0000,259.3583
795.7559,-45.9271,-12.6289,-46.2622,-11.4356,-0.0000,0.0000,0.0000,-0.0000,0.0000,259.3470
795.8672,-45.9271,-12.6289,-46.2622,-11.4356,0.0000,0.0000,0.0000,0.0000,0.0000,259.3418
795.9952,-45.9271,-12.6289,-46.2622,-11.4356,0.0000,-0.0000,0.0000,0.0000,0.0000,259.3170
796.0989,-45.9271,-12.6289,-46.2622,-11.4356,0.0000,0.0000,0.0000,0.0000,0.0000,259.2308
796.2114,-45.9271,-12.6289,-46.2622,-11.4356,0.0000,0.0000,0.0000,0.0000,0.0000,259.2490
