Time (s),AX (g),AY (g),AZ (g),GX (dps),GY (dps),GZ (dps),Roll Gyro Pure (deg),Pitch Gyro Pure (deg),Yaw Gyro Pure (deg),Roll Accel (deg),Pitch Accel (deg),Roll CF (deg),Pitch CF (deg),Yaw CF (deg),Compass Heading (deg)
14.146,0.0593,-0.0093,1.1277,-0.0492,0.4480,-0.3851,2.7259,-0.5415,257.3459,-0.4714,-3.0114,1.2603,-1.3526,257.5997,257.44
14.166,0.0537,-0.0034,1.1475,2.1492,-0.5062,0.1722,2.7688,-0.5517,257.3424,-0.1707,-2.6800,1.2444,-1.4154,257.5898,257.44
14.186,0.0498,0.0264,1.1421,0.5614,-0.4299,0.3248,2.7801,-0.5602,257.3360,1.3225,-2.4963,1.2583,-1.4669,257.5769,257.42
14.206,0.0076,0.0437,1.1438,2.0882,-0.3001,0.3096,2.8218,-0.5663,257.3298,2.1880,-0.3788,1.3355,-1.4292,257.5648,257.42
14.226,-0.0110,0.0449,1.1587,-0.1561,0.3411,-0.3393,2.8187,-0.5594,257.3365,2.2202,0.5428,1.3679,-1.3437,257.5655,257.42
14.246,-0.0083,0.0251,1.0889,-1.3088,-0.1551,-0.1332,2.7925,-0.5625,257.3392,1.3230,0.4367,1.3410,-1.2755,257.5623,257.42
14.266,0.0081,0.0347,1.1116,-1.3546,-0.4375,2.1416,2.7654,-0.5713,257.2964,1.7864,-0.4151,1.3328,-1.2495,257.5362,257.94
14.286,0.0540,0.0271,1.0691,0.4393,-0.4757,2.1187,2.7742,-0.5808,257.2540,1.4520,-2.8882,1.3460,-1.3242,257.5146,258.01
14.306,0.0771,0.0061,1.1707,2.0805,-0.1780,-0.2553,2.8158,-0.5844,257.2591,0.2987,-3.7704,1.3441,-1.4254,257.5395,258.01
14.326,0.0613,0.0115,1.1533,1.8973,0.0587,-0.1561,2.8538,-0.5832,257.2622,0.5700,-3.0413,1.3495,-1.4889,257.5359,257.38
14.346,0.0269,0.0261,1.0874,0.5843,-0.2162,2.1111,2.8655,-0.5875,257.2200,1.3762,-1.4143,1.3618,-1.4901,257.4851,257.28
14.367,0.0420,0.0281,1.1470,-0.2095,0.4174,-0.0568,2.8613,-0.5792,257.2211,1.4022,-2.0961,1.3594,-1.5063,257.4779,257.28
14.387,0.0210,0.0264,1.1150,-0.1179,0.4938,-0.3011,2.8589,-0.5693,257.2272,1.3547,-1.0785,1.3570,-1.4797,257.4752,257.26
14.407,-0.0046,0.0125,1.1406,2.0042,0.0968,-0.1866,2.8990,-0.5673,257.2309,0.6254,0.2330,1.3662,-1.4094,257.4702,257.26
14.427,-0.0100,0.0410,1.0754,-1.5225,-0.5215,1.7523,2.8686,-0.5778,257.1959,2.1841,0.5329,1.3697,-1.3417,257.4283,257.26
14.447,0.0051,0.0393,1.0967,0.3324,-0.1475,0.2256,2.8752,-0.5807,257.1913,2.0527,-0.2677,1.4034,-1.3016,257.4173,257.26
14.467,0.0391,0.0107,1.1414,2.1874,-0.2543,0.1951,2.9189,-0.5858,257.1874,0.5392,-1.9601,1.4108,-1.3328,257.4324,257.89
14.487,0.0566,0.0015,1.1699,0.3172,-0.3994,0.2638,2.9253,-0.5938,257.1822,0.0717,-2.7718,1.3633,-1.3980,257.4492,257.98
14.507,0.0522,0.0044,1.1514,0.5080,-2.3841,0.0958,2.9355,-0.6415,257.1802,0.2187,-2.5981,1.3273,-1.4918,257.4686,257.98
14.527,0.0293,0.0378,1.1580,0.0424,0.2571,-0.3775,2.9363,-0.6363,257.1878,1.8717,-1.4485,1.3499,-1.4851,257.4764,257.48
14.547,-0.0100,-0.0137,1.1462,-1.4309,-0.3917,-0.0263,2.9077,-0.6442,257.1883,-0.6834,0.5003,1.2411,-1.4132,257.4741,257.41
14.567,-0.0120,0.0559,1.0625,-0.0416,-0.4604,1.7294,2.9068,-0.6534,257.1537,3.0121,0.6442,1.3111,-1.3398,257.4381,257.41
14.587,-0.0083,0.0183,1.0752,0.3095,0.0358,-1.6828,2.9130,-0.6527,257.1874,0.9757,0.4423,1.3036,-1.2678,257.4687,257.39
14.608,0.0059,0.0024,1.0886,0.3477,-0.0635,-1.5836,2.9200,-0.6539,257.2191,0.1285,-0.3084,1.2633,-1.2306,257.4961,257.39
14.628,0.0178,0.0068,1.1108,0.6607,-0.5520,2.0958,2.9332,-0.6650,257.1771,0.3526,-0.9192,1.2396,-1.2288,257.4517,257.39
14.648,0.0408,0.0146,1.1453,2.2332,1.3640,0.3630,2.9779,-0.6377,257.1699,0.7328,-2.0387,1.2622,-1.2350,257.4424,257.39
14.668,0.0591,0.0242,1.1191,-0.0645,0.3564,-0.2477,2.9766,-0.6306,257.1748,1.2372,-3.0213,1.2599,-1.2996,257.4603,257.77
14.688,0.0547,0.0044,1.1011,-1.3851,-0.3154,2.0577,2.9489,-0.6369,257.1337,0.2287,-2.8434,1.1921,-1.3674,257.4356,257.83
14.708,0.0154,0.0349,1.1411,-0.1256,0.2571,-0.4309,2.9464,-0.6317,257.1423,1.7524,-0.7719,1.2121,-1.3386,257.4596,257.83
14.728,-0.0117,0.0205,1.1104,-0.2553,0.3945,-0.0950,2.9413,-0.6238,257.1442,1.0581,0.6046,1.2010,-1.2533,257.4613,257.46
14.748,0.0051,0.0015,1.1553,1.7752,0.2724,-0.3164,2.9768,-0.6184,257.1505,0.0726,-0.2543,1.1900,-1.2082,257.4651,257.40
14.768,0.0044,0.0325,1.1174,-1.5531,-0.4757,2.1111,2.9457,-0.6279,257.1083,1.6645,-0.2252,1.1791,-1.1780,257.4220,257.40
14.789,0.0303,0.0034,1.1028,0.4927,-0.5597,0.3935,2.9556,-0.6391,257.1004,0.1776,-1.5725,1.1485,-1.2045,257.4134,257.39
14.809,0.0371,0.0386,1.0635,0.0576,-0.0711,0.0500,2.9567,-0.6405,257.0994,2.0773,-1.9972,1.1868,-1.2376,257.4116,257.39
14.829,0.0542,0.0046,1.1423,-1.4920,-0.1475,-0.3469,2.9269,-0.6435,257.1064,0.2327,-2.7164,1.1200,-1.2996,257.4175,257.39
14.849,0.0522,0.0134,1.1631,0.3935,-0.3001,2.0348,2.9347,-0.6495,257.0657,0.6614,-2.5718,1.1092,-1.3562,257.3774,257.39
14.869,0.0139,0.0386,1.1008,-0.3011,0.5014,-0.1637,2.9287,-0.6394,257.0690,2.0069,-0.7238,1.1393,-1.3213,257.3964,257.77
14.889,0.0217,0.0234,1.1021,2.2714,-0.3536,0.0577,2.9741,-0.6465,257.0678,1.2183,-1.1293,1.1861,-1.3204,257.4126,257.83
14.909,0.0144,0.0571,1.1187,-0.2859,0.4327,-0.1942,2.9684,-0.6379,257.0717,2.9235,-0.7368,1.2501,-1.2887,257.4329,257.83
14.929,-0.0010,0.0347,1.0769,-1.4767,0.2419,0.0195,2.9389,-0.6330,257.0713,1.8438,0.0519,1.2455,-1.2305,257.4346,257.48
14.949,0.0276,-0.0005,1.1567,0.4622,-0.3459,2.0424,2.9481,-0.6399,257.0305,-0.0242,-1.3662,1.2036,-1.2425,257.3952,257.43
14.969,0.0496,0.0249,1.1213,2.2179,0.2266,-0.1103,2.9925,-0.6354,257.0327,1.2722,-2.5301,1.2489,-1.2897,257.3984,257.42
14.989,0.0347,-0.0088,1.1306,0.4011,-0.5062,0.4546,3.0005,-0.6455,257.0236,-0.4454,-1.7563,1.1888,-1.3181,257.3907,257.42
15.009,0.0576,0.0022,1.1489,0.5156,-0.3765,2.1340,3.0108,-0.6531,256.9809,0.1096,-2.8709,1.1556,-1.3874,257.3509,257.42
15.030,0.0361,0.0244,1.1155,1.8973,0.2419,-0.3393,3.0488,-0.6482,256.9877,1.2538,-1.8548,1.1959,-1.4015,257.3603,257.42
15.050,0.0239,0.0212,1.1221,-0.2172,0.0129,0.1264,3.0444,-0.6480,256.9851,1.0845,-1.2213,1.1873,-1.3940,257.3603,257.42
15.070,0.0090,0.0474,1.0989,0.2256,0.0434,-1.6141,3.0489,-0.6471,257.0174,2.4680,-0.4705,1.2429,-1.3562,257.4164,257.99
15.090,0.0020,0.0085,1.1228,-1.5760,-0.0406,-1.6675,3.0174,-0.6479,257.0508,0.4360,-0.0997,1.1803,-1.3068,257.4747,258.07
15.110,0.0151,0.0439,1.1028,-1.4691,-0.4604,1.8821,2.9880,-0.6571,257.0131,2.2820,-0.7858,1.1962,-1.2948,257.4625,258.07
15.130,0.0146,0.0173,1.1494,0.5767,-0.5520,0.3019,2.9996,-0.6682,257.0071,0.8640,-0.7301,1.1940,-1.2828,257.4372,256.98
15.150,0.0376,0.0193,1.1074,-1.2324,-0.2925,-1.5454,2.9749,-0.6740,257.0380,0.9978,-1.9442,1.1625,-1.3148,257.4419,256.81
15.170,0.0312,0.0076,1.1694,0.4775,-0.3078,1.6989,2.9845,-0.6802,257.0040,0.3708,-1.5307,1.1400,-1.3294,257.3841,256.81
15.190,0.0535,0.0134,1.1443,-0.0416,0.2037,-0.1179,2.9836,-0.6761,257.0064,0.6723,-2.6750,1.1205,-1.3793,257.3624,256.79
15.210,0.0212,0.0464,1.1030,0.7905,-0.4070,-1.6370,2.9995,-0.6842,257.0391,2.4081,-1.1022,1.1871,-1.3760,257.3707,256.78
15.230,-0.0012,0.0525,1.1082,-1.5683,-0.5520,1.6683,2.9681,-0.6953,257.0058,2.7119,0.0630,1.2180,-1.3291,257.3151,256.78
15.251,-0.0139,0.0447,1.0642,0.1798,0.1350,0.0729,2.9717,-0.6926,257.0043,2.4040,0.7485,1.2689,-1.2434,257.2924,256.78
15.271,0.0142,0.0183,1.1616,-0.0416,0.0129,-0.0950,2.9709,-0.6923,257.0062,0.9031,-0.6983,1.2535,-1.2213,257.2937,257.28
15.291,0.0239,0.0259,1.1062,-1.4538,0.1350,0.0424,2.9418,-0.6896,257.0054,1.3402,-1.2387,1.2290,-1.2194,257.2922,257.28
15.311,0.0327,-0.0156,1.1321,0.5156,-0.4681,2.1951,2.9521,-0.6990,256.9615,-0.7907,-1.6551,1.1581,-1.2458,257.2524,257.35
15.331,0.0420,0.0449,1.1050,0.0042,0.2648,-0.0416,2.9522,-0.6937,256.9623,2.3280,-2.1745,1.2050,-1.2779,257.2477,257.12
15.351,0.0598,0.0066,1.1443,-0.1027,-0.0635,-1.5683,2.9501,-0.6950,256.9936,0.3301,-2.9922,1.1681,-1.3477,257.2726,257.12
15.371,0.0439,0.0464,1.1597,-0.1790,0.2190,-0.4462,2.9465,-0.6906,257.0026,2.2906,-2.1684,1.2095,-1.3763,257.2735,257.08
15.391,0.0161,0.0427,1.0969,0.4317,-0.4986,0.3172,2.9552,-0.7005,256.9962,2.2305,-0.8409,1.2586,-1.3645,257.2865,257.75
15.411,0.0093,0.0315,1.1062,0.3477,-0.2849,-0.3927,2.9621,-0.7062,257.0041,1.6308,-0.4803,1.2802,-1.3346,257.3126,257.75
15.431,-0.0071,0.0315,1.0713,-1.5531,0.1732,0.1035,2.9311,-0.7028,257.0020,1.6839,0.3785,1.2665,-1.2627,257.3321,257.85
15.451,0.0286,-0.0083,1.1555,-1.4386,-0.4223,2.0348,2.9023,-0.7112,256.9613,-0.4116,-1.4160,1.1718,-1.2770,257.3144,257.87
15.471,0.0491,0.0369,1.1072,2.1950,0.5930,-0.0263,2.9462,-0.6994,256.9618,1.9070,-2.5364,1.2433,-1.3160,257.3371,257.87
15.492,0.0334,-0.0015,1.1274,0.5233,-0.3994,0.4699,2.9567,-0.7074,256.9524,-0.0744,-1.6993,1.2007,-1.3390,257.3493,257.87
15.512,0.0581,0.0190,1.1504,0.5156,-0.5444,2.0500,2.9670,-0.7182,256.9114,0.9484,-2.8911,1.2005,-1.4115,257.3308,257.87
15.532,0.0498,0.0247,1.1211,0.2103,-0.2162,-0.0874,2.9712,-0.7226,256.9132,1.2600,-2.5431,1.2069,-1.4609,257.3225,257.08
15.552,0.0283,0.0200,1.1099,-0.1637,0.2342,-1.6370,2.9679,-0.7179,256.9459,1.0334,-1.4615,1.1968,-1.4564,257.3443,257.08
15.572,0.0276,0.0586,1.1047,0.1798,0.0663,0.2561,2.9715,-0.7166,256.9408,3.0360,-1.4285,1.2738,-1.4541,257.3241,256.96
15.592,0.0007,0.0059,1.1235,-1.5607,-0.2085,-1.5301,2.9403,-0.7207,256.9714,0.2988,-0.0374,1.2049,-1.4014,257.3753,257.87
15.612,0.0115,0.0220,1.0920,0.9889,1.3258,2.0271,2.9601,-0.6942,256.9309,1.1527,-0.6019,1.2218,-1.3440,257.3561,257.87
15.632,0.0083,0.0271,1.1064,0.8439,-0.4070,0.5157,2.9769,-0.7024,256.9206,1.4030,-0.4297,1.2452,-1.3152,257.3721,258.00
15.652,0.0403,0.0105,1.0784,0.2256,-0.0024,-0.0187,2.9815,-0.7024,256.9209,0.5578,-2.1392,1.2221,-1.3482,257.3985,258.02
15.672,0.0483,0.0073,1.1560,2.1263,-0.4757,2.0424,3.0240,-0.7119,256.8801,0.3630,-2.3945,1.2285,-1.3992,257.3843,258.02
15.692,0.0498,-0.0110,1.1304,0.4240,-0.4146,0.0958,3.0325,-0.7202,256.8782,-0.5569,-2.5227,1.1653,-1.4521,257.4082,258.03
15.712,0.0186,0.0266,1.0999,-0.0721,0.1274,-0.4080,3.0310,-0.7177,256.8863,1.3860,-0.9662,1.1727,-1.4302,257.4408,258.03
15.733,-0.0061,0.0278,1.1414,-0.2477,0.2953,-0.1942,3.0261,-0.7118,256.8902,1.3969,0.3063,1.1769,-1.3551,257.4508,257.60
15.753,-0.0061,0.0405,1.0681,0.6683,-0.4070,1.9584,3.0394,-0.7199,256.8510,2.1729,0.3272,1.2296,-1.2956,257.4191,257.60
15.773,0.0139,0.0129,1.1196,0.3935,-0.4528,2.1874,3.0473,-0.7289,256.8073,0.6621,-0.7121,1.2144,-1.2810,257.3817,257.53
15.793,0.0112,-0.0115,1.1147,2.2790,-0.3917,2.1722,3.0929,-0.7368,256.7639,-0.5898,-0.5772,1.1860,-1.2603,257.3520,257.68
15.813,0.0334,0.0078,1.1511,0.3706,-0.2467,-0.2859,3.1003,-0.7417,256.7696,0.3889,-1.6643,1.1613,-1.2812,257.3708,257.68
15.833,0.0391,0.0122,1.1545,0.2790,-0.1933,2.0577,3.1059,-0.7456,256.7284,0.6058,-1.9377,1.1444,-1.3112,257.3447,257.71
15.853,0.0608,0.0237,1.0652,0.4546,-0.3459,0.4317,3.1150,-0.7525,256.7198,1.2736,-3.2656,1.1583,-1.3960,257.3510,257.71
15.873,0.0408,0.0359,1.1553,2.1721,0.0434,-0.1408,3.1584,-0.7516,256.7226,1.7793,-2.0202,1.2248,-1.4201,257.3681,257.71
15.893,0.0227,0.0464,1.1072,-0.3011,0.2113,-0.2401,3.1524,-0.7474,256.7274,2.3991,-1.1738,1.2660,-1.4062,257.3864,257.71
15.913,0.0110,0.0237,1.0723,0.1187,0.2953,-0.0568,3.1548,-0.7415,256.7285,1.2652,-0.5869,1.2683,-1.3678,257.4004,257.71
15.934,-0.0300,0.0381,1.1370,1.6454,0.3716,-0.0645,3.1877,-0.7341,256.7298,1.9186,1.5121,1.3259,-1.2455,257.4130,257.69
15.954,0.0056,0.0432,1.0945,-1.3928,-0.2314,0.5080,3.1598,-0.7387,256.7197,2.2610,-0.2937,1.3365,-1.2118,257.4142,257.69
15.974,0.0022,0.0103,1.1006,0.4546,1.3335,0.2790,3.1689,-0.7120,256.7141,0.5338,-0.1144,1.3132,-1.1423,257.4195,257.68
15.994,0.0500,0.0195,1.0974,-1.5302,-0.1093,-1.6141,3.1383,-0.7142,256.7464,1.0196,-2.6108,1.2720,-1.2032,257.4609,257.68
16.014,0.0520,0.0110,1.1641,2.1874,0.2648,0.1874,3.1820,-0.7089,256.7426,0.5407,-2.5577,1.2848,-1.2523,257.4661,257.68
16.034,0.0312,0.0229,1.1523,0.1111,0.2037,-0.3011,3.1843,-0.7048,256.7486,1.1409,-1.5531,1.2812,-1.2604,257.4805,257.68
16.054,0.0027,0.0349,1.1223,0.6454,1.3716,0.3783,3.1972,-0.6774,256.7411,1.7817,-0.1370,1.3136,-1.1891,257.4813,257.68
16.074,-0.0146,0.0500,1.0947,0.3630,-0.4986,-0.4614,3.2044,-0.6874,256.7503,2.6176,0.7658,1.3727,-1.1205,257.4981,257.68
16.094,-0.0066,0.0432,1.0750,-0.0263,-0.0329,-1.6446,3.2039,-0.6880,256.7832,2.3020,0.3511,1.4094,-1.0623,257.5370,257.68
16.114,0.0129,0.0142,1.1838,1.9660,0.2266,-0.3317,3.2432,-0.6835,256.7898,0.6853,-0.6262,1.4182,-1.0405,257.5491,257.68
16.134,0.0022,0.0171,1.1221,0.5004,0.1655,-0.3393,3.2532,-0.6802,256.7966,0.8726,-0.1122,1.4059,-1.0002,257.5609,257.68
16.155,0.0349,0.0056,1.1477,0.6989,-0.4146,0.4164,3.2672,-0.6885,256.7883,0.2803,-1.7423,1.3743,-1.0378,257.5577,257.68
16.175,0.0525,0.0020,1.1829,2.1340,-0.0406,-0.1103,3.3099,-0.6893,256.7905,0.0946,-2.5409,1.3641,-1.0987,257.5647,257.68
16.195,0.0586,0.0007,1.1084,-1.3164,-0.5215,0.5538,3.2836,-0.6997,256.7794,0.0379,-3.0260,1.2858,-1.1858,257.5534,257.55
16.215,0.0427,0.0334,1.1582,0.1645,0.1732,-0.1408,3.2869,-0.6963,256.7822,1.6542,-2.1117,1.3037,-1.2195,257.5558,257.55
16.235,-0.0020,0.0237,1.1113,-0.4233,0.3640,-0.1713,3.2784,-0.6890,256.7857,1.2207,0.1007,1.2922,-1.1597,257.5579,257.53
16.255,0.0122,0.0007,1.1436,0.5309,-0.3307,1.9661,3.2890,-0.6956,256.7463,0.0367,-0.6116,1.2522,-1.1442,257.5187,257.52
16.275,0.0117,0.0427,1.0977,-1.3088,-0.0100,-0.0187,3.2628,-0.6958,256.7467,2.2290,-0.6112,1.2662,-1.1230,257.5193,257.52
16.295,0.0181,0.0146,1.1201,-1.3622,-0.5062,-1.6446,3.2356,-0.7059,256.7796,0.7492,-0.9240,1.2193,-1.1248,257.5510,257.52
16.315,0.0317,0.0405,1.0938,-0.3699,0.6235,-0.2324,3.2282,-0.6935,256.7842,2.1220,-1.6610,1.2483,-1.1343,257.5543,257.52
16.335,0.0415,0.0129,1.1409,1.8439,0.3106,-1.6523,3.2651,-0.6872,256.8173,0.6498,-2.0833,1.2598,-1.1663,257.5847,257.52
16.355,0.0620,0.0066,1.1743,-0.1408,0.2266,-0.2706,3.2623,-0.6827,256.8227,0.3216,-3.0227,1.2196,-1.2362,257.5874,257.52
16.376,0.0371,0.0208,1.1067,0.6607,-0.5520,0.3783,3.2755,-0.6938,256.8151,1.0742,-1.9202,1.2264,-1.2741,257.5776,257.52
16.396,0.0266,0.0386,1.1243,0.0576,-0.5062,1.6607,3.2766,-0.7039,256.7819,1.9651,-1.3551,1.2571,-1.2871,257.5435,257.52
16.416,-0.0117,0.0474,1.0889,-1.4920,0.1045,0.0119,3.2468,-0.7018,256.7817,2.4907,0.6160,1.2778,-1.2090,257.5639,258.06
16.436,-0.0095,0.0137,1.1492,-1.5760,-0.3307,2.0195,3.2153,-0.7084,256.7413,0.6816,0.4747,1.2237,-1.1480,257.5482,258.14
16.456,0.0212,0.0530,1.1123,-1.5531,-0.1093,-0.3851,3.1842,-0.7106,256.7490,2.7269,-1.0927,1.2540,-1.1479,257.5793,258.14
16.476,0.0569,0.0039,1.0967,-1.5378,-0.4223,-1.5607,3.1534,-0.7190,256.7802,0.2041,-2.9693,1.1825,-1.2288,257.5955,257.24
16.496,0.0610,0.0120,1.1411,2.2790,-0.2849,2.1722,3.1990,-0.7247,256.7368,0.6006,-3.0615,1.2030,-1.3076,257.5339,257.10
16.516,0.0613,0.0276,1.1045,0.6072,-0.4910,0.5157,3.2112,-0.7346,256.7265,1.4308,-3.1746,1.2237,-1.3917,257.5058,257.08
16.536,0.0210,0.0264,1.1616,-0.1027,0.5319,-0.1179,3.2091,-0.7239,256.7288,1.3003,-1.0352,1.2248,-1.3672,257.4909,257.08
16.556,0.0032,0.0166,1.1204,-1.5607,-0.0177,0.2409,3.1779,-0.7243,256.7240,0.8489,-0.1623,1.1798,-1.3194,257.4697,257.07
16.577,-0.0154,0.0024,1.0991,-0.0263,0.2724,0.0271,3.1774,-0.7188,256.7235,0.1273,0.8017,1.1372,-1.2293,257.4533,257.07
16.597,0.0098,0.0464,1.0854,0.7523,-0.2849,-0.3775,3.1924,-0.7245,256.7310,2.4470,-0.5150,1.2040,-1.2062,257.4454,257.07
16.617,0.0076,0.0352,1.1382,0.5080,-0.4604,1.8668,3.2026,-0.7337,256.6937,1.7692,-0.3808,1.2364,-1.1820,257.4282,257.91
16.637,0.0430,0.0200,1.0708,-1.4462,-0.5444,0.4470,3.1737,-0.7446,256.6847,1.0711,-2.2975,1.2020,-1.2371,257.4439,258.04
16.657,0.0500,-0.0037,1.1589,0.2866,0.0129,-0.3393,3.1794,-0.7444,256.6915,-0.1810,-2.4728,1.1522,-1.2863,257.4741,258.04
16.678,0.0569,0.0161,1.1577,1.8439,0.2419,-0.3240,3.2163,-0.7395,256.6980,0.7974,-2.8127,1.1734,-1.3427,257.4701,257.22
16.698,0.0212,0.0237,1.1057,0.6989,1.2648,0.3935,3.2302,-0.7142,256.6901,1.2269,-1.1002,1.1890,-1.3087,257.4475,257.10
16.718,0.0002,0.0361,1.1213,0.1874,-0.3765,-0.2859,3.2340,-0.7218,256.6958,1.8456,-0.0125,1.2188,-1.2641,257.4390,257.10
16.738,-0.0308,0.0459,1.0872,-1.5607,-0.0940,0.1722,3.2028,-0.7236,256.6924,2.4175,1.6193,1.2368,-1.1506,257.4212,257.08
16.758,0.0142,0.0417,1.1458,-0.1943,0.3869,-0.2630,3.1989,-0.7159,256.6977,2.0868,-0.7076,1.2671,-1.1254,257.4124,257.07
16.778,0.0020,0.0105,1.1323,2.2027,-0.4681,0.0271,3.2429,-0.7253,256.6971,0.5312,-0.0988,1.2799,-1.0933,257.3984,257.07
16.798,0.0181,0.0095,1.1218,2.2485,-0.3994,2.1416,3.2879,-0.7332,256.6543,0.4863,-0.9226,1.2914,-1.0942,257.3443,257.07
16.818,0.0571,0.0408,1.1038,0.5080,-0.2085,0.1187,3.2981,-0.7374,256.6519,2.1155,-2.9609,1.3341,-1.1728,257.3312,257.07
16.838,0.0403,0.0193,1.1433,1.8592,0.3411,-1.5759,3.3353,-0.7306,256.6834,0.9665,-2.0176,1.3551,-1.2001,257.3512,257.07
16.858,0.0254,0.0117,1.1851,-0.0874,0.1350,-0.2782,3.3335,-0.7279,256.6890,0.5666,-1.2274,1.3219,-1.1986,257.3455,257.07
16.878,0.0090,0.0344,1.1086,-1.3775,-0.0635,-1.6752,3.3060,-0.7292,256.7225,1.7785,-0.4666,1.3137,-1.1705,257.3614,256.94
16.899,-0.0085,0.0469,1.0986,-1.5607,-0.0558,-0.2401,3.2747,-0.7303,256.7273,2.4431,0.4452,1.3289,-1.1070,257.3483,256.92
16.919,0.0010,0.0356,1.0847,-1.5683,0.0968,0.0042,3.2434,-0.7283,256.7272,1.8821,-0.0516,1.3209,-1.0629,257.3310,256.92
16.939,0.0000,0.0317,1.0737,-1.5836,0.0968,0.2638,3.2117,-0.7264,256.7219,1.6931,-0.0000,1.3054,-1.0185,257.3417,257.73
16.959,0.0522,0.0051,1.0876,0.3630,-0.0940,0.2027,3.2190,-0.7283,256.7179,0.2701,-2.7501,1.2709,-1.0896,257.3581,257.85
16.979,0.0522,0.0015,1.1599,0.4775,-0.5673,0.3019,3.2285,-0.7396,256.7118,0.0724,-2.5790,1.2322,-1.1601,257.3719,257.85
16.999,0.0547,-0.0054,1.1501,0.5385,-2.3536,0.2867,3.2393,-0.7867,256.7061,-0.2676,-2.7222,1.1825,-1.2677,257.3861,257.87
17.019,0.0547,0.0239,1.1086,-0.2782,0.3487,-0.3011,3.2337,-0.7797,256.7121,1.2363,-2.8234,1.1793,-1.3233,257.4112,257.87
17.039,0.0215,0.0271,1.0681,2.0195,0.3106,-0.2171,3.2741,-0.7735,256.7165,1.4534,-1.1519,1.2291,-1.3104,257.4337,257.87
17.059,0.0085,0.0459,1.0967,-0.0340,0.3869,-0.0187,3.2734,-0.7658,256.7168,2.3966,-0.4460,1.2751,-1.2684,257.4514,257.87
17.079,0.0068,0.0498,1.0798,0.1874,-0.0329,0.1569,3.2772,-0.7664,256.7137,2.6408,-0.3623,1.3333,-1.2328,257.4425,257.30
17.099,0.0044,-0.0137,1.1147,0.2561,-0.0406,-1.6065,3.2823,-0.7673,256.7458,-0.7027,-0.2259,1.2568,-1.1933,257.4645,257.22
17.120,0.0442,0.0090,1.1252,0.5996,1.3487,0.4470,3.2943,-0.7403,256.7369,0.4599,-2.2488,1.2365,-1.2097,257.4461,257.22
17.140,0.0613,0.0271,1.1418,0.3935,-0.3383,0.3783,3.3022,-0.7470,256.7293,1.3596,-3.0711,1.2489,-1.2906,257.4499,257.72
17.160,0.0493,0.0381,1.1113,0.1874,0.4785,-0.0721,3.3059,-0.7375,256.7308,1.9628,-2.5394,1.2811,-1.3314,257.4651,257.80
17.180,0.0364,0.0295,1.1438,1.8744,0.3487,-1.5530,3.3434,-0.7305,256.7618,1.4795,-1.8210,1.3250,-1.3443,257.5082,257.80
17.200,0.0281,0.0239,1.1660,0.0195,0.2571,-0.1561,3.3438,-0.7254,256.7650,1.1755,-1.3791,1.3194,-1.3407,257.5231,257.81
17.220,-0.0129,0.0400,1.0708,0.3401,0.0587,0.0119,3.3506,-0.7242,256.7647,2.1414,0.6918,1.3588,-1.2583,257.5343,257.81
17.240,-0.0090,0.0488,1.1145,1.7447,0.4327,-0.0874,3.3855,-0.7155,256.7665,2.5086,0.4639,1.4383,-1.1811,257.5470,257.81
17.260,0.0032,0.0193,1.0925,-1.4615,-0.0482,0.4851,3.3563,-0.7165,256.7568,1.0114,-0.1664,1.3932,-1.1414,257.5482,257.81
17.280,0.0120,0.0342,1.1055,-1.3546,-0.4528,0.4470,3.3292,-0.7255,256.7478,1.7709,-0.6197,1.3823,-1.1293,257.5305,257.32
17.300,0.0547,0.0232,1.0798,-1.4996,-0.3917,2.2180,3.2992,-0.7334,256.7035,1.2304,-2.8986,1.3474,-1.2075,257.4765,257.25
17.320,0.0422,0.0266,1.1531,2.2790,-0.2162,2.0806,3.3448,-0.7377,256.6619,1.3221,-2.0972,1.3901,-1.2473,257.4274,257.25
17.341,0.0334,0.0349,1.1506,1.7828,0.0663,-0.3927,3.3804,-0.7364,256.6697,1.7379,-1.6643,1.4383,-1.2627,257.4425,257.62
17.361,0.0308,0.0200,1.1543,2.1034,-0.3536,2.1187,3.4225,-0.7435,256.6273,0.9936,-1.5263,1.4609,-1.2800,257.4109,257.67
17.381,0.0107,0.0510,1.1194,-0.3241,-0.3307,2.1187,3.4160,-0.7501,256.5850,2.6099,-0.5493,1.5006,-1.2571,257.3807,257.67
17.401,-0.0046,0.0591,1.0652,-0.0187,0.0968,0.1569,3.4156,-0.7481,256.5818,3.1747,0.2491,1.5672,-1.1950,257.3896,257.68
17.421,0.0081,0.0278,1.1565,2.0653,-0.0253,1.8897,3.4569,-0.7486,256.5440,1.3786,-0.3990,1.5993,-1.1637,257.3650,257.68
17.441,0.0144,0.0391,1.1113,0.5996,-0.1475,-0.2401,3.4689,-0.7516,256.5488,2.0131,-0.7421,1.6274,-1.1496,257.3822,257.68
17.461,0.0452,0.0127,1.1360,-1.4233,-0.3154,0.1951,3.4405,-0.7579,256.5449,0.6403,-2.2767,1.5606,-1.2008,257.3904,257.68
17.481,0.0415,-0.0059,1.1565,0.1874,-2.4146,-0.0874,3.4442,-0.8062,256.5467,-0.2903,-2.0553,1.4902,-1.2813,257.3875,257.28
